Referencia,Produto
LACOR 25912,CAÇAROLA ALUM.FUNDIDO PETRO 12x8.5 CM - 25912
LACOR 25915,CAÇAROLA ALUMÍNIO FUNDID PETRO D.14CMS - 25915
LACOR 25921,CAÇAROLA A.F. PETRO 20 CM. - 25921
LACOR 25929,CAÇAROLA A.F. PETRO 28 - 25929
LACOR 27018,SERTÃ EASY 18 CM - 27018
LACOR 27022,SERTÃ EASY 22 CM - 27022
LACOR 27026,SERTÃ EASY 26 CM - 27026
LACOR 27030,SERTÃ EASY 30 CM - 27030
LACOR 27327,CAÇAROLA B.ALUM.FUND.STILO 28CM T/VIDRO - 27327
LACOR 32016,CAÇAROLA COM TAMPA 16CM BASIC - 32016
LACOR 32024,CAÇAROLA COM TAMPA 24CM BASIC - 32024
LACOR 32028,CAÇAROLA COM TAMPA 28CM BASIC - 32028
LACOR 32120,PANELA COM TAMPA 20CM BASIC - 32120
LACOR 32125,PANELA SUPER ALTA COM TAMPA 24CM BASIC - 32125
LACOR 32128,PANELA COM TAMPA 28CM BASIC - 32128
LACOR 32318,COADOR ESFÉRICO 18CM BASIC - 32318
LACOR 32324,ESCORREDOR 24CM. BASIC - 32324
LACOR 32624,TARTEIRA COM TAMPA 24CM BASIC - 32624
LACOR 38010,TESOURAS PROFISSIONAL INÓX 50-54HRc - 38010
LACOR 39008,SUPORTE MAGNÉTICO DE FACAS 380 MM - 39008
LACOR 39009,SUPORTE MAGNÉTICO DE FACAS 550 MM - 39009
LACOR 39010,FUSIL - 39010
LACOR 39012,ARMÁRIO ESTERILIZADOR FACAS - 39012
LACOR 39014,FACA DESOSSADOR 14 CM. - 39014
LACOR 39015,CUTELO 16 CM - 39015
LACOR 39016,FACA CHEF 16 CM. - 39016
LACOR 39018,CUTELO 17 CM - 39018
LACOR 39021,FACA CHEF 21 CM. - 39021
LACOR 39024,FACA DE PRESUNTO 26 CM. - 39024
LACOR 39025,FACA CHEF 25 CM. - 39025
LACOR 39027,FACA DE PÃO 21 CM. - 39027
LACOR 39028,FACA CONGELADOS 21 CM. - 39028
LACOR 39030,FACA CHEF 30 CM. - 39030
LACOR 39040,RASPADOR DE PEIXE EN INÓX 19 CM - 39040
LACOR 39042,RASPADOR DE PEIXE COM SILICONE 27 CM - 39042
LACOR 39061,CONJUNTO 6 FACAS CARNE - 39061
LACOR 39075,AFILADOR FACAS PROFESIONAL 25CM DIAMANTE - 39075
LACOR 39109,SUPORTE MAGNÉTICO DE FACAS 45 CM - 39109
LACOR 39115,FACA PEIXE / FILETES 20 CMS. - 39115
LACOR 39124,ARMÁRIO ESTERILIZADOR FACAS 20 FACAS - 39124
LACOR 39129,MATA MOSQUITOS ELÉCTRICO WHITE 3.5W - 39129
LACOR 39134,MATA MOSQUITOS ELÉCTRICO 26W CAPTER - 39134
LACOR 39135,MATA MOSQUITOS ELÉCTRICO DECOR - 39135
LACOR 39136,MATA MOSQUITOS ELÉCTRICO 36W CAPTER - 39136
LACOR 39137,ELECTROCUTOR DE INSECTOS ELECTRONICO - REFª 39137
LACOR 39163,QUADRO DE MENU 50X80 CM MEIO CÍRCULO - 39163
LACOR 39164,QUADRO DE MENU 65X115 CM - 39164
LACOR 39171,LUVA DE MAIHA TAMANHO L - 39171
LACOR 39172,LUVA DE MAIHA TAMANHO XL - 39172
LACOR 39185,"FACA BATATAS 8,5 CM. - 39185"
LACOR 39266,AFIADOR DE FACAS - 39266
LACOR 40018,CAÇAROLA COM TAMPA 18CM VITROCOR - 40018
LACOR 40022,CAÇAROLA COM TAMPA 22CM VITROCOR - 40022
LACOR 40026,CAÇAROLA COM TAMPA 26CM VITROCOR - 40026
LACOR 40032,CAÇAROLA COM TAMPA 32CM VITROCOR - 40032
LACOR 40116,PANELA COM TAMPA 16CM VITROCOR - 40116
LACOR 40120,PANELA COM TAMPA 20CM VITROCOR - 40120
LACOR 40122,PANELA COM TAMPA 22CM VITROCOR - 40122
LACOR 40125,PANELA SUPER ALTA COM TAMPA 24CM VITROCO - 40125
LACOR 40128,PANELA COM TAMPA 28CM VITROCOR - 40128
LACOR 40136,PANELA COM TAMPA 36CM VITROCOR - 40136
LACOR 45116,PANELA CON TAMPA FOODIE 16X13 CM - 45116
LACOR 45118,PANELA CON TAMPA FOODIE 18X14CM - 45118
LACOR 45128,PANELA CON TAMPA FOODIE 28X17CM - 45128
LACOR 49024,FACA DE PRESUNTO 26 CMS. - 49024
LACOR 50029,CAÇAROLA ALTA COM TAMPA D.28CM CHEF INOX - 50029
LACOR 50041,CAÇAROLA ALTA COM TAMPA D.40CM CHEF INOX - 50041
LACOR 50140,PANELA COM TAMPA D.40CM CHEF INOX - 50140
LACOR 50302,SUPORTE P/ROLO DE PAPEL COM VENTOSA - Refª 50302
LACOR 50440,PEIXEIRA 40 CMS. - 50440
LACOR 50540,ASSADEIRA D.40CM. CHEF INOX - 50540
LACOR 50541,ESCORRE-FRITOS INOX 40X29CM - 50541
LACOR 50570,ASSADEIRA D.70CM. CHEF INOX - 50570
LACOR 50640,PAELHEIRA COM TAMPA D.40 CMS. CHEF INOX - 50640
LACOR 50660,PAELHEIRA COM TAMPA D.60 CMS. CHEF INOX - 50660
LACOR 54123,PANELA BAIXA COM TAMPA D.24 CM CHEF LUXE - 54123
LACOR 54124,PANELA COM TAMPA D.24 CM CHEF LUXE - 54124
LACOR 54139,PANELA BAIXA COM TAMPA D.40 CM CHEF LUXE - 54139
LACOR 54140,PANELA COM TAMPA D.40 CM CHEF LUXE - 54140
LACOR 54145,PANELA COM TAMPA D.45 CM CHEF LUXE - 54145
LACOR 54150,PANELA COM TAMPA D.50 CM CHEF LUXE - 54150
LACOR 60000,CORTA-BACALHAU - 60000
LACOR 60002,GARFO 2 P. - 60002
LACOR 60003,GARFO 3 P. - 60003
LACOR 60005,CORTA-QUEIJOS LÂMINA - 60005
LACOR 60010,LUVA SILICONE PROFISSIONAL 29 CM - 60010
LACOR 60019,"TESOURA MULTIUSOS - 20,5cm - REFª 60019"
LACOR 60021,PASSA-PURÉ DOMÉSTICO 2 DISCOS 20CM - 60021
LACOR 60026,PASSA-PURÉ PROFISSIONAL 2 DISCOS 26 CM. - 60026
LACOR 60031,PASSA-PURÉ PROFISSIONAL 2 DISCOS 32CM. - 60031
LACOR 60035,PASSA-PURÉ INÓX - DIAM. 15cm - REFª 60035
LACOR 60048,PASSA-PURÉ 3 DISCOS 18 CM. - 60048
